artist,song,lyrics,emotion
Beyoncé,The Spot (Jail),beyoncè i live my life to the fullest party every chance i get friday nights the spot is the place i hit decked out chestout me and my girls roll up at the spot like we own the world you should see the eyes on me dress fittin like a prize on me high split  fellas get the rise on me juss from the looks of it  i must say ya bound to get hooked  if you play  mekhi your optomistic for someone goin to jail  beyoncè would you stop being so damn stale i know you gotta girl but damn dont u wanna see new things security shouldn't purchase a ring  mekhi so why you lookin at me like that like what u say is tru  beyoncè i kno ya type i see through you  mekhi oh yea what u see cause i love my girl it ain't about security i give her the world shes down for and always has been  beyoncè and i would be too if i was your girlfriend but im not i even take ya too the spot bring sand to the beach keep u on a leash i kno how most of these chicks could be sceemin and plottin on you like me  mekhi listen you a little too hot for a guy like me my girl is mo' like me she juss coo ya kno not a risk taker she just goes w the flow  beyoncè shes wack ya need a little spice in ya life live a little you'll see what u want in a wife is in me i'm tellin you its like gold hard to let go harder to hold i'll dance wit ya slowly too a hiphop joint and only stop on a positive you got the point  mekhi i dont dance i dont drink i dont like clubs im not impressed i dont smoke only scrubs go to different places and fall for pretty faces to me ya'll are all basic  beyoncè and ya life is wasted thats why u a cop you never got to taste it if you had one drop you wouldn't go back i'll prove it to you come out wit me tonight that'll do it for you,joy
Ariana Grande,Close Friends,lyrics for this song have yet to be released please check back once the song has been released,joy
BTS (방탄소년단),Intro: Boy Meets Evil,방탄소년단의  boy meets evil 가사   어두워져 가 내 미래의 빛 치기 어린 사랑에 잃은 꿈의 길 내 야망의 독기 매일 칼을 갈았지 but 참을 수 없는 내 욕심에 칼은 무뎌져 알고 있어 다 이 사랑은 악마의 또 다른 이름 손을 잡지 마 외쳤지만 저버렸지 내 양심을 날이 갈수록 느끼는 날카로운 현실들 현실에 찢겨 붉게 묻은 피들 생각 못했지 그 욕심이 지옥을 부르는 나팔이 될 지는 breathe   숨이 차오르고 뒤틀린 현실에 눈 감는 매일 밤 울리는 비극의 오르골 but 이 죄를 벗기엔 그걸 잊는 게 당최 포기가 안돼 그 입술이 너무 달콤했기에 연애에 취해서 버려진 미래 깨어나고 볼 땐 이미 사방엔 지뢰 건드릴 수 없는 매서운 주위의 시선들 기적을 외쳐 이 현실에 rewind 미치도록 좋았지 달콤함에 중독된 병신 그래 병신 놓치긴 싫었어 악마의 손길을  refrain too bad but it's too sweet it's too sweet it's too sweet too bad but it's too sweet it's too sweet it's too sweet too bad but it's too sweet it's too sweet it's too sweet too bad but it's too sweet it's too sweet it's too sweet   it's too evil it's too evil it's too evil yeah it's evil,joy
Billie Eilish,"I don’t know, i just wish i wasn’t ​breathing",lyrics from snippet i don't know i just wish i wasn't breathing if i wasn't breathing would that change your mind,joy
Beyoncé,Don’t Hurt Yourself (Poetry),if it's what you truly want i can wear her skin over mine her hair over mine her hands as gloves her teeth as confetti her scalp a cap her sternum my bedazzled cane we can pose for a photograph all three of us immortalized you and your perfect girl,joy
Beyoncé,Upgrade U,jayz  beyoncé hehehe yeah b talk yo' shit hehe partner let me upgrade you how you gon' upgrade me what's higher than number one you know i used to beat that block now i be's the block partner let me upgrade you   beyoncé i hear you be the block but i'm the lights that keep the streets on notice you the type that like to keep them on a leash though i'm known to walk alone but i'm alone for a reason sending me a drink ain't appeasing believe me come harder this won't be easy don't doubt yourself trust me you need me this ain't a shoulder with a chip or a ego but what you think they all mad at me for  pre beyoncé you need a real woman in your life that's a good look taking care of home and still fly that's a good look and i'mma help you build up your account that's a good look better yet a hood look ladies that's a good look believe me when you're in them big meetings for the mills that's a good look it take me just to compliment the deals that's a good look and anything you cop i'll split the bill that's a good look better yet a hood look ladies that's a good look believe me   beyoncé partner let me upgrade you audemars piguet you switch your neck ties to purple labels upgrade you i can up can i up let me upgrade you partner let me upgrade you partner let me upgrade you flip a new page duce you to some new things and upgrade you i can up can i up let me upgrade you partner let me upgrade you   beyoncé i can do for you what martin did for the people ran by the men but the women keep the tempo it's very seldom that you're blessed to find your equals still play my part and let you take the lead role believe me i'll follow this could be easy i'll be the help whenever you need me you need me i see your hustle with my hustle i can keep you focused on your focus i can feed you  pre beyoncé you need a real woman in your life that's a good look taking care of home and still fly that's a good look i can help you build up your account that's a good look better yet a hood look ladies that's a good look believe me when you're in them big meetings for the mills that's a good look it take me just to compliment the deals that's a good look anything you cop i'll split the bill that's a good look better yet a hood look ladies that's a good look hey believe me i can upgrade you    beyoncé  jayz partner let me upgrade you audemars piguet you audemars piguet you switch your neck ties to purple labels have you rock in purple labels upgrade you i can up can i up let me upgrade you partner let me upgrade you partner let me upgrade you flip a new page duce you to some new things and uh upgrade hov you i can up uh huh can i up let me hov upgrade you partner let me upgrade you  uh huh   jayz i be the dboy who infiltrated all the corporate dudes they call shots i call audibles jacob the jeweler baubles lorraine schwartz oughta do it's big balling baby when i'm courting you i'm talking spy bags and fly pads and rooms at the bloomberg and rumors you on the verge of a new merge 'cause that rock on ya finger's like a tumor you can't fit ya hand in ya new purse it's humorous to me they watching and we just yachting islandhopping off the amalfi coast mafioso hov baby you ever seen saturn no not the car but everywhere we are you're sure to see stars this is high level not eyelevel my bezel courtesy of audemars i order yours tomorrow now look at the time i saved you mama let me upgrade you hehe   beyoncé just when you think we had it all big ends condos collecting cars picture your life elevating with me now you my project celebrity i keep ya name hot in them streets that little glimpse of light makes that diamond really shine and you already is a star but unless you're flawless then ya dynasty ain't complete without a chief like me   beyoncé partner let me upgrade you audemars piguet you switch your neck ties to purple labels upgrade you i can up can i up let me upgrade you partner let me upgrade you partner let me upgrade you flip a new page duce you to some new things and upgrade you i can up can i up let me upgrade you partner let me upgrade you   beyoncé audemars piguet watch dimples in ya necktie hermes briefcase cartier tie clips silklined blazers diamond creamed facials vvs cuff links sixstar pent suites partna let me upgrade ya grade ya partna partna let me upgrade ya grade ya let me let me let me upgrade ya grade ya partna partna partna let me upgrade ya huh,joy
Ariana Grande,I’ve Heard It Both Ways,lyrics will be available upon release stay tuned,joy
Ariana Grande,​dangerous woman (live),don't need permission made my decision to test my limits 'cause it's my business god as my witness start what i finished don't need no hold up taking control of this kind of moment i'm locked and loaded completely focused my mind is open  pre all that you got skin to skin oh my god don't you stop boy   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you babe makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' 'bout   nothing to prove and i'm bulletproof and know what i'm doing the way we're movin' like ducing us to a new thing babe i wanna savor save it for later the taste the flavor 'cause i'm a taker 'cause i'm a giver it's only nature i live for danger  pre all that you got skin to skin oh my god don't ya stop boy   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' about  post all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout all girls wanna be like that bad girls underneath like that you know how i'm feeling inside baby somethin' 'bout somethin' 'bout  interlude come on nelson woo fuck it up nelson   somethin' 'bout you feel like a dangerous woman said somethin' about somethin' 'bout you babe wanna do things that i shouldn't somethin' about somethin' 'bout you  post all girls wanna be like that woo bad girls underneath like that you know how i'm feeling inside you know how i'm feeling inside all girls wanna be like that baby bad girls underneath like that ah yeah yeah yeah you know how i'm feeling inside somethin' 'bout somethin' 'bout   dublin let me hear y'all make some noise for my fucking incredible band let's go somethin' 'bout you woo woo hoo somethin' about you,joy
Ariana Grande,​bloodline,marjorie grande because i'm trying to do the best i can and they can't find something to satisfy me ugh   ariana grande mmm yeah yuh even though you're bad for me i know you're the one that i'm thinkin' got me feelin' so incredible would you mind maybe linkin'  pre ariana grande love me love me baby are you down can you let me know love me thank you leave me put it down then it's time to go get it like you love me but you don't boy it's just for show take it or leave it you gotta take it or leave it like uh   ariana grande don't want you in my bloodline yeah just wanna have a good time yeah and no need to apologize no but you gon' have to let this shit go don't want you in my bloodline yeah not tryna make you all mine yeah and no need to apologize no but you gon' have to let this shit go yeah  post ariana grande yeaheheh yeaheh yeah yeah yuh   ariana grande no we won't be talking the next day i ain't got nothin' to say hell nah i ain't lookin' for my one true love yeah that ship sailed away  pre ariana grande love me love me baby are you down can you let me know love me thank you leave me put it down then it's time to go get it like you love me but you don't boy it's just for show take it or leave it you gotta take it or leave it like uh   ariana grande don't want you in my bloodline yeah just wanna have a good time yeah and no need to apologize no but you gon' have to let this shit go don't want you in my bloodline yeah don't want you in my not tryna make you all mine yeah not tryna make you and no need to apologize no and no need to yeah but you gon' have to let this shit go yeah  post ariana grande oh yeah yeaheheh yeaheh yeah yeah yeah   ariana grande say i know what you want what you want from me i know what you think what you think you see so what you think i know what you looking for but i'm complete yee i know what you need but it won't be me i know what you want what you want from me i know what you think what you think you see i know what you looking for but i'm complete i know what you need but it won't be me but it won't be me   ariana grande don't want you in my bloodline yeah don't want you in my bloodline just wanna have a good time yeah just tryna have a good time and no need to apologize no no but you gon' have to let this shit go yeah yeah don't want you in my bloodline yeah not tryna make you all mine yeah and no need to apologize no but you gon' have to let this shit go yeah  post ariana grande woo yeaheheh yeah yeah yeah yeah yeaheheh yeah yeah yeah yeah yeah yeah,joy
Beyoncé,Flaws and All,i'm a trainwreck in the morning i'm a bitch in the afternoon every now and then without warning i can be really mean towards you i'm a puzzle yes indeed ever complex in every way and all the pieces aren't even in the box and yet you see the picture clear as day   i don't know why you love me and that's why i love you you catch me when i fall accept me flaws and all and that's why i love you and that's why i love you and that's why i love you   i neglect you when i'm working when i need attention i tend to nag i'm a host of imperfection and you see past all that i'm a peasant by some standards but in your eyes i'm a queen you see potential in all my flaws and that's exactly what i mean   i don't know why you love me and that's why i love you you catch me when i fall accept me flaws and all and that's why i love you and that's why i love you and that's why i love you i don't know why you love me and that's why i love you you catch me when i fall accept me flaws and all and that's why i love you and that's why i love you and that's why i love you you you,anger
